product_id,station_id,check_name,parameter_name,lower_limit,upper_limit,target_value,unit,check_type,is_critical,sampling_frequency
1,1,Component Feed Quality,Component Size,18,22,20,mm,Continuous,1,Every unit
1,1,Feed Alignment,Position,0,5,2,mm,Continuous,0,Every 10 units
1,2,CNC Tool Temperature,Temperature,35,55,45,°C,Continuous,1,Every 5 minutes
1,2,Spindle Speed Accuracy,Speed,490,510,500,RPM,Continuous,1,Every job
1,2,Cut Depth,Depth,14.8,15.2,15,mm,Continuous,1,Per feature
1,3,Assembly Gap,Gap,0,0.5,0.2,mm,Continuous,0,Per joint
1,3,Torque Value,Torque,45,55,50,Nm,Discrete,1,Every fastener
1,3,Alignment Check,Angle,-1,1,0,degrees,Discrete,0,Per assembly
1,4,Dimensional Check X,Length,99.8,100.2,100,mm,Continuous,1,Per unit
1,4,Dimensional Check Y,Width,49.9,50.1,50,mm,Continuous,1,Per unit
1,4,Surface Finish,Roughness,0.4,3.2,1.6,μm,Continuous,0,Per unit
1,4,Load Test,Load,450,550,500,N,Discrete,1,Per unit
2,1,Component Feed Quality,Component Size,16,24,20,mm,Continuous,1,Every unit
2,1,Feed Alignment,Position,0,6,3,mm,Continuous,0,Every 10 units
2,2,CNC Tool Temperature,Temperature,30,60,45,°C,Continuous,1,Every 5 minutes
2,2,Spindle Speed Accuracy,Speed,480,520,500,RPM,Continuous,1,Every job
2,2,Cut Depth,Depth,14.5,15.5,15,mm,Continuous,1,Per feature
2,3,Assembly Gap,Gap,0,0.8,0.3,mm,Continuous,0,Per joint
2,3,Torque Value,Torque,40,60,50,Nm,Discrete,1,Every fastener
2,3,Alignment Check,Angle,-1.5,1.5,0,degrees,Discrete,0,Per assembly
2,4,Dimensional Check X,Length,149.5,150.5,150,mm,Continuous,1,Per unit
2,4,Dimensional Check Y,Width,74.8,75.2,75,mm,Continuous,1,Per unit
2,4,Surface Finish,Roughness,0.5,3.5,2,μm,Continuous,0,Per unit
2,4,Load Test,Load,400,600,500,N,Discrete,1,Per unit
